model,temp,signal,rho,p,ci_lo,ci_hi
haiku,0.4,Density slope,0.03,0.7948,-0.234,0.289
haiku,0.4,Specificity slope,0.031,0.7882,-0.202,0.266
haiku,0.4,Oscillation,-0.095,0.3999,-0.328,0.147
haiku,0.4,Regression,-0.042,0.709,-0.283,0.199
haiku,0.4,Split Ratio (SDR),-0.365,0.0009,-0.562,-0.135
haiku,0.7,Density slope,0.092,0.4195,-0.165,0.324
haiku,0.7,Specificity slope,-0.006,0.9592,-0.249,0.242
haiku,0.7,Oscillation,-0.22,0.0498,-0.428,0.019
haiku,0.7,Regression,0.232,0.038,-0.009,0.458
haiku,0.7,Split Ratio (SDR),-0.329,0.0029,-0.537,-0.09
haiku,0.9,Density slope,-0.055,0.6268,-0.31,0.197
haiku,0.9,Specificity slope,0.132,0.2425,-0.118,0.381
haiku,0.9,Oscillation,-0.28,0.0118,-0.469,-0.058
haiku,0.9,Regression,-0.001,0.9915,-0.244,0.233
haiku,0.9,Split Ratio (SDR),-0.468,0.0,-0.642,-0.26
